category,P-AUROC,P-AUPR,AUPRO
audiojack,0.4373,0.0161,0.599
bottle_cap,,,
button_battery,0.3988,0.3754,0.6922
end_cap,0.203,0.0154,0.5807
eraser,0.5806,0.1594,0.8083
fire_hood,0.2864,0.2023,0.8128
mint,,,
mounts,0.4189,0.0532,0.6751
pcb,0.2322,0.043,0.5903
phone_battery,0.5651,0.0984,0.651
plastic_nut,0.2232,0.0702,0.6201
plastic_plug,0.2936,0.0654,0.7079
porcelain_doll,,,
regulator,0.1767,0.0068,0.4636
rolled_strip_base,,,
sim_card_set,0.5727,0.1288,0.6143
switch,0.4297,0.1581,0.4961
tape,,,
terminalblock,0.4777,0.0463,0.7459
toothbrush,0.2423,0.0139,0.2369
toy,0.5531,0.0533,0.5953
toy_brick,0.8241,0.1713,0.7074
transistor1,0.3489,0.1553,0.5246
u_block,0.2569,0.1208,0.7052
usb,0.3181,0.0098,0.5377
usb_adaptor,0.3461,0.011,0.5029
vcpill,0.5184,0.4021,0.81
wooden_beads,0.5152,0.2524,0.7972
woodstick,0.6458,0.243,0.6593
zipper,0.6762,0.1623,0.6189
