category,AnomalyDINO,Dinomaly,INP-Former,Mean
audiojack,0.8260893138076544,0.8695393405182342,0.8841174358823558,0.8599
bottle_cap,0.9212576718374894,0.9058767086401072,0.8866520701792737,0.9046
button_battery,0.8460043959160521,0.866880601247873,0.8542992058990357,0.8557
end_cap,0.8284223794109059,0.8709882948216037,0.8661223398156249,0.8552
eraser,0.9014894328609846,0.9074102549124712,0.9138619537180842,0.9076
fire_hood,0.8552904805632078,0.845468931741659,0.8558452708907254,0.8522
mint,0.7553979732470866,0.7199388393460845,0.7561033562406152,0.7438
mounts,0.8449153591997465,0.8884245312001011,0.8925828042144938,0.8753
pcb,0.8391773047643742,0.9208059259363789,0.9335989844343038,0.8979
phone_battery,0.8950249135944701,0.9254510368663594,0.9335406105990782,0.918
plastic_nut,0.8435898822025619,0.8839327697975891,0.9024151897470871,0.8766
plastic_plug,0.8245408787798197,0.9021439834950075,0.9007515538350915,0.8758
porcelain_doll,0.8294047478724157,0.8487720125415499,0.8861821353638699,0.8548
regulator,0.7935984317650985,0.8586624958291624,0.8188038038038037,0.8237
rolled_strip_base,0.9810340346534654,0.9915897277227722,0.9906834777227723,0.9878
sim_card_set,0.9145666239673007,0.9575206089222522,0.962150786220385,0.9447
switch,0.8751289465329175,0.9751170268747096,0.9756111159326831,0.942
tape,0.9642734678048347,0.9660432539535158,0.9720965732598471,0.9675
terminalblock,0.948161525139836,0.9745105746060763,0.966992075605372,0.9632
toothbrush,0.6503396390598004,0.9087360563932828,0.8989024664462726,0.8193
toy,0.8610183944802156,0.8612243780879536,0.8617982513000013,0.8613
toy_brick,0.809538984398314,0.723750839301701,0.729348223944345,0.7542
transistor1,0.8617281002732112,0.9745795851133593,0.9747497293553034,0.937
u_block,0.913808418803586,0.896854590349329,0.9127088167734312,0.9078
usb,0.8653091095336232,0.9231451054759638,0.9354756545956082,0.908
usb_adaptor,0.8360738585245164,0.8205899966261809,0.8401733299595142,0.8323
vcpill,0.9368728232033554,0.919310539030427,0.926934032872408,0.9277
wooden_beads,0.9182726449053555,0.8737177282749765,0.8880990012254445,0.8934
woodstick,0.8431511258273073,0.840843316491559,0.8371669751752965,0.8404
zipper,0.9739113925160438,0.991386735572782,0.9908600838833398,0.9854
MEAN,0.8652,0.8938,0.8983,0.8858
