category,AnomalyDINO,Dinomaly,INP-Former,max_disagreement
toothbrush,0.6503396390598004,0.9087360563932828,0.8989024664462726,0.2583964173334824
transistor1,0.8617281002732112,0.9745795851133593,0.9747497293553034,0.11302162908209212
switch,0.8751289465329175,0.9751170268747096,0.9756111159326831,0.10048216939976562
pcb,0.8391773047643742,0.9208059259363789,0.9335989844343038,0.09442167966992954
toy_brick,0.809538984398314,0.723750839301701,0.729348223944345,0.08578814509661292
plastic_plug,0.8245408787798197,0.9021439834950075,0.9007515538350915,0.07760310471518772
usb,0.8653091095336232,0.9231451054759638,0.9354756545956082,0.07016654506198505
regulator,0.7935984317650985,0.8586624958291624,0.8188038038038037,0.06506406406406395
plastic_nut,0.8435898822025619,0.8839327697975891,0.9024151897470871,0.058825307544525196
audiojack,0.8260893138076544,0.8695393405182342,0.8841174358823558,0.05802812207470143
porcelain_doll,0.8294047478724157,0.8487720125415499,0.8861821353638699,0.05677738749145422
mounts,0.8449153591997465,0.8884245312001011,0.8925828042144938,0.04766744501474729
sim_card_set,0.9145666239673007,0.9575206089222522,0.962150786220385,0.04758416225308426
wooden_beads,0.9182726449053555,0.8737177282749765,0.8880990012254445,0.04455491663037903
end_cap,0.8284223794109059,0.8709882948216037,0.8661223398156249,0.04256591541069776
phone_battery,0.8950249135944701,0.9254510368663594,0.9335406105990782,0.03851569700460811
mint,0.7553979732470866,0.7199388393460845,0.7561033562406152,0.03616451689453071
bottle_cap,0.9212576718374894,0.9058767086401072,0.8866520701792737,0.03460560165821569
terminalblock,0.948161525139836,0.9745105746060763,0.966992075605372,0.026349049466240282
button_battery,0.8460043959160521,0.866880601247873,0.8542992058990357,0.020876205331820885
usb_adaptor,0.8360738585245164,0.8205899966261809,0.8401733299595142,0.019583333333333286
vcpill,0.9368728232033554,0.919310539030427,0.926934032872408,0.017562284172928377
zipper,0.9739113925160438,0.991386735572782,0.9908600838833398,0.017475343056738257
u_block,0.913808418803586,0.896854590349329,0.9127088167734312,0.01695382845425697
eraser,0.9014894328609846,0.9074102549124712,0.9138619537180842,0.012372520857099611
rolled_strip_base,0.9810340346534654,0.9915897277227722,0.9906834777227723,0.010555693069306815
fire_hood,0.8552904805632078,0.845468931741659,0.8558452708907254,0.010376339149066327
tape,0.9642734678048347,0.9660432539535158,0.9720965732598471,0.007823105455012414
woodstick,0.8431511258273073,0.840843316491559,0.8371669751752965,0.005984150652010856
toy,0.8610183944802156,0.8612243780879536,0.8617982513000013,0.0007798568197857625
