category,P-AUROC,P-AUPR
audiojack,0.3318,0.1627
bottle_cap,0.0943,0.0893
button_battery,0.4016,0.3916
end_cap,0.413,0.0279
eraser,0.3044,0.1756
fire_hood,0.3057,0.169
mint,0.4158,0.1021
mounts,0.3571,0.1713
pcb,0.4474,0.1854
phone_battery,0.5758,0.3369
plastic_nut,0.1971,0.0596
plastic_plug,0.371,0.0784
porcelain_doll,0.142,0.1028
regulator,0.206,0.0687
rolled_strip_base,0.2331,0.1486
sim_card_set,0.8217,0.1382
switch,0.3387,0.4043
tape,0.0902,0.0772
terminalblock,0.3523,0.1768
toothbrush,0.4942,0.1992
toy,0.4303,0.0425
toy_brick,0.7209,0.1519
transistor1,0.3718,0.1776
u_block,0.1564,0.1096
usb,0.4252,0.1778
usb_adaptor,0.3562,0.028
vcpill,0.3289,0.4816
wooden_beads,0.3445,0.2378
woodstick,0.8188,0.2159
zipper,0.5736,0.4803
