category,P-AUROC,P-AUPR,AUPRO
audiojack,0.3318,0.1627,0.7735
bottle_cap,,,
button_battery,0.4016,0.3916,0.8234
end_cap,0.413,0.0279,0.7001
eraser,0.3044,0.1756,0.8313
fire_hood,0.3057,0.169,0.8244
mint,0.4158,0.1021,0.5932
mounts,0.3571,0.1713,0.8651
pcb,0.4474,0.1854,0.836
phone_battery,0.5758,0.3369,0.8138
plastic_nut,,,
plastic_plug,0.371,0.0784,0.7934
porcelain_doll,,,
regulator,,,
rolled_strip_base,,,
sim_card_set,0.8217,0.1382,0.6627
switch,0.3387,0.4043,0.8488
tape,,,
terminalblock,0.3523,0.1768,0.9521
toothbrush,0.4942,0.1992,0.8154
toy,0.4303,0.0425,0.7082
toy_brick,0.7209,0.1519,0.648
transistor1,0.3718,0.1776,0.8606
u_block,,,
usb,0.4252,0.1778,0.9109
usb_adaptor,0.3562,0.028,0.6944
vcpill,0.3289,0.4816,0.8691
wooden_beads,0.3445,0.2378,0.7965
woodstick,0.8188,0.2159,0.6933
zipper,0.5736,0.4803,0.936
